#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
0,Melody Osuna,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
1,Florencia Fernandez *,28:34,19,6/12(50%),6/12(50%),0/0(0%),7/9(77.8%),5,7,12.0,1.0,3.0,2.0,1.0,1.0,-13.0,24.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
4,Stephanie Smidt,03:00,0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0.0,0.0,2.0,1.0,0.0,0.0,-7.0,-2.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
5,Julia Fernandez *,16:32,4,2/6(33.3%),2/6(33.3%),0/0(0%),0/0(0%),1,3,4.0,0.0,4.0,5.0,2.0,0.0,-12.0,1.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
7,Candela Foresto *,26:32,8,3/5(60%),1/3(33.3%),2/2(100%),0/0(0%),2,1,3.0,3.0,2.0,1.0,1.0,0.0,-6.0,12.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
8,Mora Sauro,01:26,0,0/1(0%),0/1(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
11,Abril Romagnoli *,14:33,2,1/6(16.7%),1/2(50%),0/4(0%),0/0(0%),1,0,1.0,1.0,4.0,2.0,1.0,0.0,-12.0,-2.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
13,Lucila Sampietro,19:09,0,0/11(0%),0/5(0%),0/6(0%),0/0(0%),1,1,2.0,0.0,1.0,1.0,1.0,0.0,-5.0,-9.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
14,Maribel Barzola,20:15,3,1/5(20%),0/1(0%),1/4(25%),0/0(0%),0,4,4.0,1.0,1.0,2.0,1.0,0.0,-7.0,3.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
16,Julieta Perez,14:39,7,2/5(40%),2/5(40%),0/0(0%),3/6(50%),3,7,10.0,0.0,2.0,2.0,1.0,0.0,-4.0,10.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
23,Dalma Piri *,25:35,0,0/8(0%),0/2(0%),0/6(0%),0/0(0%),1,4,5.0,1.0,0.0,2.0,1.0,0.0,-13.0,-3.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
24,Micaela Gonzales,29:45,11,4/12(33.3%),2/4(50%),2/8(25%),1/2(50%),1,4,5.0,4.0,4.0,2.0,0.0,0.0,-10.0,9.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,Desconocida,118314-FCO-SSI
