#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
6,Lara Leivas,08:05,2,1/4(25%),1/4(25%),0/0(0%),0/0(0%),0,0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-2.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
7,Sol Depetris,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
10,Maria Laviero,21:22,12,6/9(66.7%),6/9(66.7%),0/0(0%),0/0(0%),2,1,3.0,1.0,2.0,0.0,2.0,0.0,18.0,15.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
12,Sofia Zapke,04:30,0,0/2(0%),0/0(0%),0/2(0%),0/1(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
13,Malena Maggi,08:12,0,0/2(0%),0/2(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,-3.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
14,Munay Martinez *,12:27,0,0/4(0%),0/3(0%),0/1(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-4.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
15,Gisel Botta *,15:50,2,1/6(16.7%),1/1(100%),0/5(0%),0/2(0%),0,3,3.0,0.0,3.0,0.0,0.0,0.0,-5.0,-2.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
19,Delfina Saravia *,30:59,7,2/8(25%),2/6(33.3%),0/2(0%),3/3(100%),0,2,2.0,1.0,3.0,2.0,2.0,0.0,1.0,4.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
22,Giuliana Baccareli,32:16,6,3/9(33.3%),3/6(50%),0/3(0%),0/0(0%),0,6,6.0,0.0,2.0,4.0,2.0,1.0,5.0,5.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
23,Victoria Gauna *,18:36,5,2/6(33.3%),2/5(40%),0/1(0%),1/2(50%),4,4,8.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,Desconocida,118315-CUF-MAL
