#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
0,Melody Osuna,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
1,Florencia Fernandez *,20:49,9,4/9(44.4%),4/8(50%),0/1(0%),1/1(100%),2,4,6.0,0.0,2.0,2.0,0.0,3.0,8.0,11.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
4,Stephanie Smidt,04:25,3,1/1(100%),1/1(100%),0/0(0%),1/2(50%),0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
5,Julia Fernandez *,33:48,20,9/12(75%),9/12(75%),0/0(0%),2/2(100%),4,7,11.0,0.0,4.0,3.0,3.0,0.0,5.0,28.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
7,Candela Foresto *,29:16,11,3/8(37.5%),1/5(20%),2/3(66.7%),3/3(100%),0,3,3.0,2.0,3.0,1.0,0.0,0.0,7.0,10.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
8,Mora Sauro,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
11,Abril Romagnoli *,25:32,6,3/6(50%),3/5(60%),0/1(0%),0/0(0%),2,0,2.0,3.0,5.0,4.0,2.0,0.0,15.0,6.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
13,Lucila Sampietro,10:39,1,0/6(0%),0/0(0%),0/6(0%),1/2(50%),1,1,2.0,1.0,0.0,1.0,0.0,0.0,1.0,-4.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
14,Maribel Barzola,07:22,3,1/4(25%),0/2(0%),1/2(50%),0/0(0%),1,1,2.0,0.0,1.0,1.0,1.0,0.0,-6.0,2.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
16,Julieta Perez,20:23,7,2/4(50%),2/3(66.7%),0/1(0%),3/5(60%),3,0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,8.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
23,Dalma Piri,11:11,0,0/2(0%),0/0(0%),0/2(0%),0/0(0%),0,2,2.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
24,Micaela Gonzalez *,36:35,20,5/13(38.5%),2/6(33.3%),3/7(42.9%),7/8(87.5%),0,2,2.0,3.0,1.0,2.0,5.0,1.0,6.0,20.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
Team/Coaches,Team/Coaches,,,,,,,1,0,1.0,,1.0,1.0,,,,87.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
TOTAL,TOTAL,200,80,28/65(43.1%),22/42(52.4%),6/23(26.1%),18/23(78.3%),14,21,35.0,11.0,22.0,17.0,16.0,4.0,,87.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
2,Agustina Marin *,11:59,2,1/4(25%),1/3(33.3%),0/1(0%),0/2(0%),0,2,2.0,0.0,1.0,2.0,0.0,0.0,-9.0,-3.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
4,Maria Midaglia,02:00,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),1,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
7,Florencia Mayola,22:42,5,1/2(50%),0/0(0%),1/2(50%),2/2(100%),0,2,2.0,0.0,1.0,0.0,3.0,0.0,2.0,9.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,Desconocida,118316-FCO-MAL
