#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
6,Lara Leivas *,26:31,13,6/12(50%),5/9(55.6%),1/3(33.3%),0/1(0%),3,1,4.0,1.0,3.0,2.0,0.0,0.0,12.0,9.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
7,Sol Depetris,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
10,Maria Laviero,26:47,11,5/12(41.7%),5/12(41.7%),0/0(0%),1/2(50%),2,3,5.0,2.0,2.0,0.0,2.0,0.0,14.0,12.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
12,Sofia Zapke,02:44,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
13,Malena Maggi,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
14,Munay Martinez *,16:49,0,0/3(0%),0/0(0%),0/3(0%),0/0(0%),1,2,3.0,0.0,0.0,0.0,1.0,0.0,-5.0,1.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
15,Gisel Botta,08:03,0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,-2.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
19,Delfina Saravia *,24:30,13,4/6(66.7%),2/3(66.7%),2/3(66.7%),3/3(100%),0,2,2.0,3.0,4.0,3.0,0.0,1.0,16.0,14.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
22,Giuliana Baccareli,28:48,13,5/8(62.5%),3/3(100%),2/5(40%),1/3(33.3%),0,2,2.0,2.0,3.0,3.0,3.0,1.0,9.0,13.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
23,Victoria Gauna *,20:46,4,2/5(40%),2/4(50%),0/1(0%),0/0(0%),0,6,6.0,1.0,2.0,4.0,0.0,1.0,3.0,5.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
55,Flor Martinez *,30:12,9,3/9(33.3%),2/5(40%),1/4(25%),2/2(100%),0,9,9.0,7.0,3.0,3.0,2.0,0.0,16.0,18.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
77,Myriam Alonso,14:51,11,4/10(40%),3/6(50%),1/4(25%),2/2(100%),2,3,5.0,2.0,1.0,1.0,0.0,0.0,10.0,11.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
Team/Coaches,Team/Coaches,,,,,,,0,2,2.0,,0.0,0.0,,,,81.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
TOTAL,TOTAL,200,74,29/66(43.9%),22/42(52.4%),7/24(29.2%),9/13(69.2%),8,30,38.0,18.0,18.0,17.0,8.0,3.0,,81.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
0,Amanda Guineo,07:28,0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,2,2.0,0.0,1.0,3.0,0.0,0.0,3.0,-2.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
2,Andrea Valdes,17:22,6,2/5(40%),0/1(0%),2/4(50%),0/0(0%),0,2,2.0,1.0,2.0,1.0,1.0,0.0,-8.0,6.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
7,Catalina Perez *,34:35,5,2/5(40%),2/3(66.7%),0/2(0%),1/2(50%),0,6,6.0,7.0,2.0,1.0,4.0,2.0,-12.0,19.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
8,Florencia Barahona,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
9,Renata Diaz,03:19,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,2,2.0,0.0,1.0,0.0,0.0,0.0,-8.0,2.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
10,Monserrat Barahona,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
11,Sofía Antezana,02:18,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,-1.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
12,Constanza Cardenas *,20:29,2,1/5(20%),1/4(25%),0/1(0%),0/0(0%),1,0,1.0,0.0,4.0,1.0,0.0,1.0,-2.0,-1.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
13,Josefina Cortes *,34:18,11,4/8(50%),1/4(25%),3/4(75%),0/0(0%),1,4,5.0,0.0,4.0,2.0,1.0,0.0,-1.0,11.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
15,Martina Cabrera,02:30,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
19,Manuela Rios *,37:41,24,8/21(38.1%),8/16(50%),0/5(0%),8/12(66.7%),1,5,6.0,3.0,4.0,7.0,3.0,0.0,-12.0,12.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
77,Karla Martinez *,40:00,13,4/13(30.8%),3/6(50%),1/7(14.3%),4/5(80%),2,7,9.0,0.0,0.0,1.0,1.0,0.0,-13.0,12.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
Team/Coaches,Team/Coaches,,,,,,,3,2,5.0,,1.0,3.0,,,,58.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
TOTAL,TOTAL,200,61,21/58(36.2%),15/34(44.1%),6/24(25%),13/19(68.4%),8,30,38.0,11.0,19.0,20.0,10.0,3.0,,58.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,Desconocida,118317-CUF-SSI
