#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
0,Melody Osuna,05:29,0.0,0/2(0%),0/0(0%),0/2(0%),0/0(0%),1,0,1,0.0,0,0,0.0,0.0,0.0,-1,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
1,Florencia Fernandez,08:14,6.0,1/5(20%),1/5(20%),0/0(0%),4/4(100%),1,3,4,0.0,0,0,0.0,0.0,-1.0,6,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
4,Stephanie Smidt,10:33,0.0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0,2.0,1,0,0.0,0.0,-8.0,1,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
5,Julia Fernandez *,18:56,7.0,0/4(0%),0/3(0%),0/1(0%),7/8(87.5%),1,10,11,0.0,3,2,0.0,0.0,-19.0,11,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
7,Candela Foresto *,23:05,10.0,3/9(33.3%),1/2(50%),2/7(28.6%),2/2(100%),0,2,2,1.0,2,0,3.0,0.0,-21.0,10,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
8,Mora Sauro,04:40,0.0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),1,0,1,0.0,0,0,0.0,0.0,-2.0,0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
11,Abril Romagnoli *,21:10,0.0,0/8(0%),0/6(0%),0/2(0%),0/0(0%),0,1,1,3.0,3,0,2.0,0.0,-12.0,-2,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
13,Lucila Sampietro,19:05,1.0,0/6(0%),0/3(0%),0/3(0%),1/2(50%),0,1,1,0.0,3,0,1.0,0.0,-12.0,-4,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
14,Maribel Barzola,21:57,8.0,3/10(30%),1/5(20%),2/5(40%),0/2(0%),1,3,4,0.0,2,2,1.0,0.0,-7.0,2,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
16,Julieta Perez *,23:53,9.0,3/9(33.3%),3/8(37.5%),0/1(0%),3/4(75%),2,5,7,0.0,4,2,3.0,0.0,-10.0,10,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
23,Dalma Piri,18:00,7.0,2/7(28.6%),1/3(33.3%),1/4(25%),2/2(100%),1,1,2,1.0,2,3,2.0,0.0,-10.0,4,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
24,Micaela Gonzalez *,24:58,2.0,1/7(14.3%),1/5(20%),0/2(0%),0/0(0%),0,3,3,0.0,4,2,0.0,0.0,-18.0,-3,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
Team/Coaches,Team/Coaches,,,,,,,1,1,2,,0,0,,,,34,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
TOTAL,TOTAL,200,50.0,13/69(18.8%),8/40(20%),5/29(17.2%),19/24(79.2%),9,30,39,7.0,24,11,12.0,0.0,,34,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
6,Lara Leivas *,19:22,8.0,3/5(60%),3/5(60%),0/0(0%),2/2(100%),0,2,2,0.0,1,0,0.0,0.0,12.0,8,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
7,Sol Depetris,20:50,7.0,1/4(25%),0/1(0%),1/3(33.3%),4/7(57.1%),0,2,2,1.0,0,1,0.0,0.0,10.0,3,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
10,Maria Laviero,13:05,8.0,3/3(100%),3/3(100%),0/0(0%),2/4(50%),0,0,0,2.0,0,0,0.0,0.0,6.0,8,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
12,Sofia Zapke,08:58,6.0,2/4(50%),0/0(0%),2/4(50%),0/0(0%),0,1,1,0.0,1,0,0.0,0.0,6.0,5,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
13,Malena Maggi,11:07,11.0,5/6(83.3%),4/5(80%),1/1(100%),0/0(0%),0,4,4,0.0,2,1,1.0,0.0,13.0,14,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
14,Munay Martinez,12:53,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),1,2,3,0.0,0,0,0.0,1.0,3.0,4,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
15,Gisel Botta *,22:58,0.0,0/4(0%),0/1(0%),0/3(0%),0/2(0%),0,9,9,2.0,2,2,1.0,1.0,7.0,5,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
19,Delfina Saravia *,20:43,4.0,0/4(0%),0/2(0%),0/2(0%),4/4(100%),0,5,5,3.0,1,2,1.0,0.0,15.0,7,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
22,Giuliana Baccareli,20:16,11.0,4/8(50%),1/3(33.3%),3/5(60%),0/0(0%),0,6,6,0.0,3,2,2.0,0.0,12.0,13,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
23,Victoria Gauna *,17:12,11.0,4/11(36.4%),4/8(50%),0/3(0%),3/4(75%),1,5,6,2.0,2,1,1.0,0.0,7.0,11,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
55,Flor Martinez *,18:55,4.0,1/5(20%),0/2(0%),1/3(33.3%),1/2(50%),0,4,4,5.0,3,7,0.0,0.0,14.0,1,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
77,Myriam Alonso,13:41,4.0,1/5(20%),1/3(33.3%),0/2(0%),2/4(50%),4,6,10,2.0,2,1,1.0,0.0,15.0,10,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
Team/Coaches,Team/Coaches,,,,,,,1,1,2,,0,0,,,,89,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
TOTAL,TOTAL,200,74.0,24/59(40.7%),16/33(48.5%),8/26(30.8%),18/29(62.1%),7,47,54,17.0,17,17,7.0,2.0,,89,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,Desconocida,118318-FCO-CUF
