#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
0,Amanda Guineo,20:06,2.0,1/3(33.3%),1/2(50%),0/1(0%),0/0(0%),0,1,1,0.0,4,1,0.0,0.0,14.0,0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
2,Andrea Valdes,17:30,8.0,3/7(42.9%),1/1(100%),2/6(33.3%),0/0(0%),0,3,3,1.0,2,2,0.0,1.0,8.0,7,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
7,Catalina Perez *,23:05,5.0,2/13(15.4%),1/8(12.5%),1/5(20%),0/0(0%),0,3,3,4.0,4,0,3.0,0.0,-3.0,4,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
8,Florencia Barahona,00:15,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0,0.0,0,0,0.0,0.0,0.0,0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
9,Renata Diaz,01:32,0.0,0/1(0%),0/1(0%),0/0(0%),0/0(0%),0,1,1,0.0,0,0,0.0,0.0,-3.0,0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
10,Monserrat Barahona,00:15,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0,0.0,0,0,0.0,0.0,0.0,0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
11,Sofía Antezana,04:11,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0,0.0,1,0,0.0,0.0,-6.0,0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
12,Constanza Cardenas *,27:27,8.0,4/7(57.1%),4/7(57.1%),0/0(0%),0/0(0%),1,4,5,0.0,3,2,1.0,1.0,1.0,10,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
13,Josefina Cortes *,28:14,13.0,5/14(35.7%),5/12(41.7%),0/2(0%),3/5(60%),4,7,11,2.0,3,2,0.0,0.0,12.0,13,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
15,Martina Cabrera,03:22,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0,0.0,1,1,0.0,0.0,-3.0,-1,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,Desconocida,118319-SSI-MAL
