#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Daihana Murillo *,29:24,9,4/11(36.4%),3/8(37.5%),1/3(33.3%),0/0(0%),2,3,5.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
6,Yuliany Paz *,27:32,8,4/7(57.1%),4/7(57.1%),0/0(0%),0/0(0%),3,6,9.0,1.0,2.0,3.0,1.0,4.0,1.0,17.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
7,Laura Ramirez,09:15,2,0/1(0%),0/1(0%),0/0(0%),2/2(100%),0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
8,Carolina Lopez *,21:45,6,1/3(33.3%),1/3(33.3%),0/0(0%),4/4(100%),2,2,4.0,6.0,5.0,2.0,3.0,0.0,12.0,15.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
10,Valentina Lopez,30:52,8,2/9(22.2%),1/7(14.3%),1/2(50%),3/5(60%),2,1,3.0,2.0,0.0,3.0,2.0,0.0,3.0,3.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
11,Mayra Caicedo,24:46,10,4/9(44.4%),2/5(40%),2/4(50%),0/0(0%),0,4,4.0,3.0,1.0,1.0,1.0,0.0,7.0,12.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
12,Jenifer Muñoz *,34:50,21,7/17(41.2%),3/8(37.5%),4/9(44.4%),3/4(75%),1,8,9.0,2.0,1.0,1.0,3.0,0.0,18.0,23.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
13,Lorena Hurtado,04:45,0,0/3(0%),0/3(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-3.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
14,Marlyn Vente *,16:51,6,3/5(60%),3/5(60%),0/0(0%),0/0(0%),2,2,4.0,1.0,0.0,1.0,0.0,1.0,15.0,9.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
16,Estefania Andrade,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
22,Melisa Suaza,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
24,Maria Salguedo,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
Team/Coaches,Team/Coaches,,,,,,,1,4,5.0,,0.0,0.0,,,,86.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
TOTAL,TOTAL,200,70,25/65(38.5%),17/47(36.2%),8/18(44.4%),12/15(80%),13,30,43.0,15.0,11.0,12.0,11.0,7.0,,86.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
4,Perla Hernandez,09:34,0,0/3(0%),0/2(0%),0/1(0%),0/0(0%),0,2,2.0,0.0,2.0,0.0,0.0,0.0,-4.0,-1.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
5,Taiyier Parks *,13:00,2,1/4(25%),1/4(25%),0/0(0%),0/0(0%),1,3,4.0,1.0,0.0,0.0,0.0,1.0,-6.0,5.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
7,Paulina Rodriguez,01:54,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
10,Daniela Soto *,25:09,7,3/11(27.3%),2/7(28.6%),1/4(25%),0/0(0%),1,3,4.0,0.0,1.0,2.0,2.0,0.0,-11.0,3.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
14,Jazmin Valenzuela,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
16,Adriana Romero,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
17,Waleska Perez *,31:34,4,1/6(16.7%),1/2(50%),0/4(0%),2/2(100%),1,6,7.0,3.0,2.0,5.0,2.0,0.0,-6.0,6.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
18,Abdi Xicontencatl *,17:16,2,1/2(50%),1/2(50%),0/0(0%),0/0(0%),1,1,2.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
20,Camila Suarez *,34:34,27,8/19(42.1%),3/10(30%),5/9(55.6%),6/7(85.7%),0,1,1.0,1.0,0.0,3.0,2.0,0.0,-11.0,16.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
21,Karla Hernandez,14:13,0,0/4(0%),0/1(0%),0/3(0%),0/0(0%),1,0,1.0,0.0,3.0,0.0,0.0,0.0,-10.0,-3.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
25,A'jah Davis,27:00,8,4/6(66.7%),4/6(66.7%),0/0(0%),0/0(0%),1,6,7.0,0.0,0.0,2.0,0.0,0.0,-7.0,11.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
77,Alexia Lagunas,25:46,7,3/7(42.9%),2/3(66.7%),1/4(25%),0/0(0%),1,2,3.0,2.0,2.0,1.0,1.0,0.0,-11.0,8.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
Team/Coaches,Team/Coaches,,,,,,,4,3,7.0,,0.0,1.0,,,,49.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
TOTAL,TOTAL,200,57,21/62(33.9%),14/37(37.8%),7/25(28%),8/9(88.9%),11,28,39.0,7.0,12.0,15.0,8.0,1.0,,49.0,Pioneras de Delicias,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,Desconocida,118320-IND-PIO
