#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
3,Fabiola Mendoza,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
6,Monica Aristondo,07:06,0,0/2(0%),0/1(0%),0/1(0%),0/0(0%),0,1,1.0,0.0,1.0,0.0,0.0,0.0,6.0,-1.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
9,Silvia Vega,11:21,6,2/3(66.7%),2/3(66.7%),0/0(0%),2/2(100%),0,4,4.0,0.0,2.0,1.0,0.0,0.0,-3.0,8.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
10,Maria Montero *,40:00,21,6/13(46.2%),5/8(62.5%),1/5(20%),8/10(80%),0,6,6.0,8.0,2.0,5.0,0.0,0.0,-8.0,21.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
11,Elisa Dominguez,03:19,3,1/3(33.3%),0/0(0%),1/3(33.3%),0/0(0%),0,0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,1.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
15,Astrid Heredia,07:43,0,0/2(0%),0/2(0%),0/0(0%),0/0(0%),0,3,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
16,Fatima Aviles,09:25,0,0/2(0%),0/2(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-2.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
23,Guadalupe Vazquez *,16:07,3,1/4(25%),0/1(0%),1/3(33.3%),0/0(0%),0,0,0.0,1.0,4.0,2.0,1.0,0.0,-4.0,0.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
24,Gabriela Alfaro,10:29,3,1/2(50%),0/1(0%),1/1(100%),0/2(0%),0,1,1.0,1.0,0.0,1.0,1.0,0.0,-10.0,2.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
44,Brandi Harvey-Carr *,24:17,13,6/9(66.7%),6/9(66.7%),0/0(0%),1/3(33.3%),2,2,4.0,1.0,2.0,2.0,0.0,0.0,-17.0,11.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
56,Anisleidy Galindo *,40:00,23,8/18(44.4%),3/9(33.3%),5/9(55.6%),2/5(40%),2,8,10.0,4.0,3.0,6.0,1.0,0.0,-8.0,19.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
87,Rachel Contreras *,30:13,10,3/8(37.5%),1/4(25%),2/4(50%),2/2(100%),2,6,8.0,0.0,5.0,2.0,0.0,1.0,5.0,12.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
Team/Coaches,Team/Coaches,,,,,,,3,1,4.0,,0.0,0.0,,,,72.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
TOTAL,TOTAL,200,82,28/66(42.4%),17/40(42.5%),11/26(42.3%),15/24(62.5%),9,32,41.0,15.0,22.0,19.0,3.0,1.0,,72.0,Salvadorenas B.C.,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
1,Ameela Li,27:24,10,3/9(33.3%),2/5(40%),1/4(25%),3/4(75%),0,3,3.0,3.0,3.0,1.0,0.0,0.0,-6.0,8.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
3,Danielle Robinson *,32:26,13,4/10(40%),4/8(50%),0/2(0%),5/6(83.3%),0,5,5.0,5.0,1.0,2.0,0.0,0.0,13.0,14.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
5,Kamilah Jackson *,15:35,5,2/5(40%),1/2(50%),1/3(33.3%),0/0(0%),0,4,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
10,Aquira Decosta,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
12,Mo Bennett,12:42,0,0/7(0%),0/7(0%),0/0(0%),0/0(0%),2,1,3.0,2.0,2.0,0.0,3.0,0.0,-14.0,1.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
15,Jazmine Jackson,26:07,2,0/2(0%),0/0(0%),0/2(0%),2/2(100%),0,5,5.0,4.0,3.0,1.0,2.0,0.0,3.0,10.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
22,Faatimah A *,21:05,6,2/4(50%),2/2(100%),0/2(0%),2/2(100%),3,4,7.0,1.0,2.0,0.0,3.0,0.0,5.0,15.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
24,Aliyah Collier *,27:16,22,7/18(38.9%),7/13(53.8%),0/5(0%),8/10(80%),2,5,7.0,0.0,4.0,4.0,3.0,1.0,16.0,16.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
30,Rebecca Harris *,33:41,28,9/13(69.2%),3/4(75%),6/9(66.7%),4/6(66.7%),1,3,4.0,0.0,1.0,2.0,2.0,0.0,23.0,26.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
32,Emer Nichols,03:44,4,2/3(66.7%),2/3(66.7%),0/0(0%),0/0(0%),2,0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,5.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
Team/Coaches,Team/Coaches,,,,,,,1,0,1.0,,0.0,0.0,,,,100.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
TOTAL,TOTAL,200,90,29/71(40.9%),21/44(47.7%),8/27(29.6%),24/30(80%),11,30,41.0,15.0,17.0,11.0,13.0,1.0,,100.0,Phoenix,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP,Desconocida,118321-SAL-BAP
