#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Perla Hernandez *,24:21,3,1/5(20%),1/2(50%),0/3(0%),1/3(33.3%),1,4,5.0,1.0,0.0,0.0,0.0,1.0,10.0,4.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
5,Taiyier Parks *,19:22,6,2/4(50%),2/4(50%),0/0(0%),2/2(100%),1,8,9.0,2.0,3.0,5.0,0.0,0.0,4.0,10.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
7,Paulina Rodriguez,24:38,8,3/11(27.3%),1/5(20%),2/6(33.3%),0/0(0%),0,3,3.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
10,Daniela Soto,23:03,6,2/8(25%),2/5(40%),0/3(0%),2/2(100%),0,2,2.0,1.0,2.0,2.0,1.0,0.0,7.0,2.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
14,Jazmin Valenzuela *,26:03,13,5/11(45.5%),5/9(55.6%),0/2(0%),3/5(60%),3,3,6.0,0.0,3.0,1.0,1.0,0.0,15.0,11.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
16,Adriana Romero,02:23,0,0/2(0%),0/2(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
17,Waleska Perez *,06:16,3,1/3(33.3%),0/1(0%),1/2(50%),0/0(0%),0,2,2.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
18,Abdi Xicontencatl *,24:59,2,1/7(14.3%),1/3(33.3%),0/4(0%),0/0(0%),1,0,1.0,4.0,3.0,3.0,4.0,0.0,4.0,2.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
20,Camila Suarez,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
21,Karla Hernandez,13:16,4,2/4(50%),2/3(66.7%),0/1(0%),0/0(0%),0,4,4.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,Pioneras de Delicias,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL,Desconocida,118323-PIO-SAL
