#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Daihana Murillo *,27:46,7.0,3/8(37.5%),2/3(66.7%),1/5(20%),0/0(0%),0,2,2.0,1.0,3.0,0.0,0.0,0.0,20.0,5.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
6,Yuliany Paz *,27:04,9.0,4/8(50%),4/7(57.1%),0/1(0%),1/2(50%),5,7,12.0,3.0,2.0,3.0,1.0,3.0,19.0,20.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
7,Laura Ramirez,09:48,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
8,Carolina Lopez *,25:53,9.0,4/9(44.4%),4/8(50%),0/1(0%),1/2(50%),0,2,2.0,4.0,1.0,1.0,1.0,0.0,5.0,9.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
10,Valentina Lopez,20:36,7.0,2/7(28.6%),1/3(33.3%),1/4(25%),2/2(100%),0,3,3.0,1.0,0.0,1.0,0.0,0.0,9.0,5.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
11,Mayra Caicedo,20:34,6.0,1/6(16.7%),1/5(20%),0/1(0%),4/5(80%),0,2,2.0,6.0,4.0,2.0,1.0,0.0,8.0,7.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
12,Jenifer Muñoz *,29:06,17.0,5/16(31.3%),1/6(16.7%),4/10(40%),3/4(75%),2,4,6.0,0.0,0.0,1.0,1.0,0.0,12.0,11.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
13,Lorena Hurtado,09:07,2.0,0/1(0%),0/0(0%),0/1(0%),2/4(50%),0,3,3.0,0.0,3.0,0.0,1.0,0.0,-2.0,3.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
14,Marlyn Vente *,20:35,5.0,2/3(66.7%),2/3(66.7%),0/0(0%),1/1(100%),1,3,4.0,0.0,2.0,0.0,1.0,0.0,7.0,9.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
16,Estefania Andrade,02:38,0.0,0/1(0%),0/1(0%),0/0(0%),0/0(0%),1,0,1.0,0.0,2.0,0.0,0.0,0.0,-5.0,0.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
22,Melisa Suaza,02:38,0.0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
24,Maria Salguedo,04:15,3.0,1/3(33.3%),0/1(0%),1/2(50%),0/0(0%),0,0,0.0,0.0,1.0,1.0,0.0,0.0,-8.0,0.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
Team/Coaches,Team/Coaches,,,,,,,3,1,4.0,,0.0,0.0,,,,70.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
TOTAL,TOTAL,200,65.0,22/63(34.9%),15/37(40.5%),7/26(26.9%),14/20(70%),12,27,39.0,16.0,18.0,9.0,7.0,3.0,,70.0,Indeportes Antioquia,Salvadorenas B.C.,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
3,Fabiola Mendoza,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
6,Monica Aristondo,04:16,2,1/2(50%),1/2(50%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
9,Silvia Vega,08:34,4,2/3(66.7%),2/3(66.7%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
10,Maria Montero *,35:46,10,3/11(27.3%),3/7(42.9%),0/4(0%),4/11(36.4%),1,3,4.0,3.0,2.0,3.0,3.0,1.0,-15.0,3.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
11,Elisa Dominguez,06:44,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
15,Astrid Heredia,13:22,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),1,2,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
16,Fatima Aviles,05:15,2,0/1(0%),0/1(0%),0/0(0%),2/2(100%),0,0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
23,Guadalupe Vazquez *,15:29,0,0/4(0%),0/2(0%),0/2(0%),0/0(0%),0,3,3.0,1.0,0.0,1.0,0.0,0.0,-6.0,-1.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
24,Gabriela Alfaro,14:25,3,1/4(25%),0/2(0%),1/2(50%),0/0(0%),1,2,3.0,3.0,2.0,0.0,0.0,1.0,2.0,7.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
44,Brandi Harvey-Carr *,18:04,9,3/6(50%),3/6(50%),0/0(0%),3/6(50%),1,4,5.0,0.0,5.0,4.0,0.0,0.0,-15.0,4.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
56,Anisleidy Galindo *,38:05,12,5/16(31.3%),5/16(31.3%),0/0(0%),2/3(66.7%),1,4,5.0,2.0,1.0,3.0,1.0,0.0,-20.0,5.0,Salvadorenas B.C.,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL,Desconocida,118324-IND-SAL
