#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
1,Ameela Li *,33:29,11.0,4/10(40%),3/7(42.9%),1/3(33.3%),2/3(66.7%),0,2,2,6.0,3,1,4.0,0.0,5.0,15,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
3,Danielle Robinson *,24:43,6.0,2/11(18.2%),2/9(22.2%),0/2(0%),2/3(66.7%),0,4,4,2.0,2,2,1.0,0.0,6.0,1,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
5,Kamilah Jackson *,20:10,7.0,3/8(37.5%),2/7(28.6%),1/1(100%),0/0(0%),1,5,6,1.0,2,0,0.0,0.0,6.0,9,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
10,Aquira Decosta,05:43,3.0,1/4(25%),0/2(0%),1/2(50%),0/0(0%),3,1,4,0.0,0,0,0.0,0.0,3.0,4,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
12,Mo Bennett,15:37,1.0,0/3(0%),0/2(0%),0/1(0%),1/2(50%),1,3,4,1.0,0,0,1.0,0.0,0.0,3,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
15,Jazmine Jackson,23:57,16.0,3/7(42.9%),0/0(0%),3/7(42.9%),7/8(87.5%),1,4,5,0.0,0,1,2.0,1.0,13.0,18,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
22,Faatimah A,16:34,4.0,2/6(33.3%),2/6(33.3%),0/0(0%),0/0(0%),1,3,4,1.0,1,1,1.0,0.0,4.0,5,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
24,Aliyah Collier *,27:27,24.0,9/23(39.1%),7/14(50%),2/9(22.2%),4/5(80%),0,3,3,4.0,3,0,3.0,3.0,10.0,22,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
30,Rebecca Harris *,29:20,9.0,4/6(66.7%),3/4(75%),1/2(50%),0/0(0%),2,5,7,0.0,2,0,2.0,0.0,15.0,16,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
32,Emer Nichols,03:00,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0,0.0,1,1,0.0,0.0,-2.0,-1,Phoenix,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO,Desconocida,118325-BAP-PIO
