#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Daihana Murillo,18:01,4.0,1/4(25%),0/1(0%),1/3(33.3%),1/2(50%),1,2,3.0,1.0,2.0,0.0,0.0,0.0,10.0,4.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
5,Diana Prens,00:39,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
6,Yuliany Paz *,26:27,10.0,3/11(27.3%),3/10(30%),0/1(0%),4/11(36.4%),6,8,14.0,2.0,2.0,1.0,1.0,0.0,15.0,11.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
7,Laura Ramirez,15:49,5.0,2/6(33.3%),1/3(33.3%),1/3(33.3%),0/0(0%),1,1,2.0,0.0,2.0,0.0,2.0,0.0,9.0,5.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
8,Carolina Lopez *,26:05,3.0,1/6(16.7%),1/5(20%),0/1(0%),1/2(50%),0,3,3.0,4.0,3.0,2.0,2.0,0.0,4.0,4.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
10,Mabel Martínez *,25:47,13.0,4/10(40%),1/3(33.3%),3/7(42.9%),2/2(100%),0,4,4.0,2.0,1.0,0.0,3.0,0.0,1.0,16.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
11,Mayra Caicedo,20:36,2.0,0/5(0%),0/3(0%),0/2(0%),2/2(100%),0,5,5.0,6.0,1.0,1.0,0.0,0.0,11.0,7.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
12,Jenifer Muñoz *,25:48,6.0,3/8(37.5%),3/7(42.9%),0/1(0%),0/0(0%),3,2,5.0,1.0,2.0,1.0,2.0,0.0,8.0,8.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
13,Lorena Hurtado,09:38,4.0,2/7(28.6%),2/6(33.3%),0/1(0%),0/0(0%),0,0,0.0,0.0,3.0,1.0,0.0,0.0,-2.0,-2.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
21,Valentina Lopez *,29:23,23.0,8/18(44.4%),2/4(50%),6/14(42.9%),1/2(50%),0,3,3.0,0.0,0.0,0.0,1.0,0.0,11.0,16.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
22,Melisa Suaza,00:39,0.0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
24,Maria Salguedo,01:08,3.0,1/1(100%),0/0(0%),1/1(100%),0/0(0%),1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
Team/Coaches,Team/Coaches,,,,,,,3,2,5.0,,0.0,0.0,,,,73.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
TOTAL,TOTAL,200,73.0,25/76(32.9%),13/42(31%),12/34(35.3%),11/21(52.4%),15,30,45.0,16.0,16.0,6.0,11.0,0.0,,73.0,Indeportes Antioquia,Union Florida,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
6,Lara Leivas *,09:35,2,1/3(33.3%),1/3(33.3%),0/0(0%),0/0(0%),0,2,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
7,Sol Depetris,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
10,Maria Laviero,10:29,2,1/2(50%),1/2(50%),0/0(0%),0/0(0%),0,2,2.0,0.0,2.0,1.0,0.0,0.0,-9.0,2.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
12,Sofia Zapke,04:11,0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
13,Malena Maggi,22:21,14,6/15(40%),4/10(40%),2/5(40%),0/0(0%),1,3,4.0,0.0,1.0,3.0,0.0,0.0,-13.0,6.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
14,Munay Martinez,10:18,0,0/1(0%),0/1(0%),0/0(0%),0/0(0%),1,4,5.0,0.0,1.0,0.0,0.0,1.0,-3.0,5.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
15,Gisel Botta *,21:07,12,4/8(50%),2/3(66.7%),2/5(40%),2/3(66.7%),3,7,10.0,0.0,3.0,4.0,1.0,1.0,-3.0,15.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
19,Delfina Saravia *,37:30,13,6/10(60%),6/9(66.7%),0/1(0%),1/1(100%),0,2,2.0,1.0,0.0,1.0,0.0,0.0,-13.0,11.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
22,Giuliana Baccareli,14:19,2,0/3(0%),0/2(0%),0/1(0%),2/2(100%),0,2,2.0,0.0,0.0,4.0,0.0,0.0,-12.0,-3.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
23,Sarah Mgbeike *,20:47,6,2/10(20%),2/6(33.3%),0/4(0%),2/4(50%),3,6,9.0,1.0,4.0,0.0,0.0,1.0,-3.0,7.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
55,Flor Martinez *,31:21,4,1/3(33.3%),1/2(50%),0/1(0%),2/4(50%),0,5,5.0,4.0,2.0,6.0,1.0,0.0,-10.0,4.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
77,Myriam Alonso,18:02,4,2/5(40%),2/4(50%),0/1(0%),0/0(0%),0,4,4.0,1.0,3.0,1.0,0.0,0.0,-6.0,5.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
Team/Coaches,Team/Coaches,,,,,,,3,4,7.0,,0.0,0.0,,,,53.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
TOTAL,TOTAL,200,59,23/61(37.7%),19/42(45.2%),4/19(21.1%),9/14(64.3%),11,41,52.0,8.0,17.0,21.0,2.0,3.0,,53.0,Union Florida,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF,Desconocida,119974-IND-CUF
