#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
1,Ameela Li *,39:43,20.0,6/18(33.3%),3/8(37.5%),3/10(30%),5/6(83.3%),0,2,2.0,4.0,5.0,1.0,0.0,1.0,-2.0,13.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
5,Kamilah Jackson *,26:32,8.0,2/7(28.6%),1/5(20%),1/2(50%),3/3(100%),2,5,7.0,4.0,3.0,2.0,0.0,0.0,3.0,12.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
10,Doris Jones,24:45,10.0,4/13(30.8%),4/9(44.4%),0/4(0%),2/2(100%),0,4,4.0,2.0,0.0,2.0,0.0,0.0,-1.0,5.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
12,Mo Bennett *,34:10,13.0,6/12(50%),6/11(54.5%),0/1(0%),1/2(50%),10,11,21.0,1.0,3.0,1.0,1.0,1.0,4.0,29.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
15,Jazmine Jackson *,39:04,12.0,4/13(30.8%),1/3(33.3%),3/10(30%),1/1(100%),2,8,10.0,4.0,1.0,2.0,2.0,0.0,9.0,17.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
22,Faatimah A,14:25,0.0,0/2(0%),0/1(0%),0/1(0%),0/0(0%),0,1,1.0,1.0,1.0,2.0,1.0,0.0,-4.0,-1.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
30,Rebecca Harris *,45:51,20.0,6/14(42.9%),2/5(40%),4/9(44.4%),4/4(100%),1,11,12.0,1.0,5.0,4.0,1.0,1.0,2.0,23.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
32,Mariah Cooks,25:30,11.0,2/12(16.7%),2/6(33.3%),0/6(0%),7/12(58.3%),4,3,7.0,2.0,4.0,2.0,2.0,0.0,-6.0,5.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
Team/Coaches,Team/Coaches,,,,,,,2,5,7.0,,1.0,1.0,,,,103.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
TOTAL,TOTAL,250,94.0,30/91(33%),19/48(39.6%),11/43(25.6%),23/30(76.7%),21,50,71.0,19.0,23.0,17.0,7.0,3.0,,103.0,Phoenix,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI,Desconocida,119975-BAP-SSI
