#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Daihana Murillo,22:36,6,2/7(28.6%),2/4(50%),0/3(0%),2/2(100%),2,3,5.0,0.0,1.0,2.0,3.0,0.0,9.0,7.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
5,Diana Prens,06:12,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),1,0,1.0,0.0,1.0,1.0,0.0,0.0,-4.0,0.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
6,Yuliany Paz *,18:22,5,2/7(28.6%),2/7(28.6%),0/0(0%),1/2(50%),2,9,11.0,0.0,4.0,1.0,1.0,0.0,7.0,10.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
7,Laura Ramirez,02:56,0,0/1(0%),0/0(0%),0/1(0%),0/0(0%),0,0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0,-1.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
8,Carolina Lopez *,27:48,15,7/12(58.3%),7/11(63.6%),0/1(0%),1/3(33.3%),0,5,5.0,2.0,2.0,2.0,0.0,0.0,8.0,13.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
10,Mabel Martínez *,29:32,9,3/14(21.4%),0/4(0%),3/10(30%),0/0(0%),1,1,2.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
11,Mayra Caicedo,15:49,5,1/5(20%),0/0(0%),1/5(20%),2/2(100%),0,2,2.0,3.0,1.0,3.0,1.0,1.0,-1.0,5.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
12,Jenifer Muñoz *,29:58,15,5/16(31.3%),1/8(12.5%),4/8(50%),1/2(50%),3,1,4.0,0.0,2.0,0.0,2.0,0.0,8.0,9.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
13,Lorena Hurtado,16:19,3,1/1(100%),1/1(100%),0/0(0%),1/2(50%),1,5,6.0,0.0,3.0,0.0,2.0,2.0,-1.0,12.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
21,Valentina Lopez *,30:28,3,0/5(0%),0/2(0%),0/3(0%),3/4(75%),0,5,5.0,2.0,1.0,0.0,1.0,0.0,6.0,5.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
22,Melisa Suaza,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
24,Maria Salguedo,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
Team/Coaches,Team/Coaches,,,,,,,1,4,5.0,,0.0,1.0,,,,60.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
TOTAL,TOTAL,200,61,21/68(30.9%),13/37(35.1%),8/31(25.8%),11/17(64.7%),11,35,46.0,7.0,17.0,11.0,11.0,3.0,,60.0,Indeportes Antioquia,Phoenix,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
1,Ameela Li *,40:00,5,1/13(7.7%),0/4(0%),1/9(11.1%),2/2(100%),4,3,7.0,3.0,2.0,5.0,0.0,1.0,-8.0,-1.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
5,Kamilah Jackson *,26:40,8,2/6(33.3%),2/5(40%),0/1(0%),4/4(100%),0,8,8.0,0.0,2.0,0.0,0.0,0.0,-7.0,12.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
10,Doris Jones,17:33,3,1/10(10%),0/8(0%),1/2(50%),0/0(0%),0,2,2.0,0.0,2.0,3.0,0.0,0.0,2.0,-7.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
12,Mo Bennett *,33:43,0,0/5(0%),0/5(0%),0/0(0%),0/0(0%),6,12,18.0,1.0,3.0,3.0,3.0,0.0,-6.0,14.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
15,Jazmine Jackson *,27:56,8,3/7(42.9%),2/5(40%),1/2(50%),1/1(100%),4,3,7.0,0.0,1.0,2.0,0.0,0.0,-10.0,9.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
22,Faatimah A,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
30,Rebecca Harris *,37:36,25,5/18(27.8%),5/12(41.7%),0/6(0%),15/16(93.8%),1,5,6.0,0.0,3.0,3.0,1.0,0.0,-8.0,15.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
32,Mariah Cooks,16:31,4,1/5(20%),0/1(0%),1/4(25%),1/2(50%),0,3,3.0,0.0,3.0,2.0,0.0,0.0,-3.0,0.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
Team/Coaches,Team/Coaches,,,,,,,1,2,3.0,,0.0,0.0,,,,42.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
TOTAL,TOTAL,200,53,13/64(20.3%),9/40(22.5%),4/24(16.7%),23/25(92%),16,38,54.0,4.0,16.0,18.0,4.0,1.0,,42.0,Phoenix,Indeportes Antioquia,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP,Desconocida,119977-IND-BAP
