Jugadores,MIN,PTS,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID,Inicialistas,#_MADE,#_ATTEMPT,TCC,TCI,2PC,2PI,3PC,3PI,TLC,TLI
Melody Osuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florencia Fernandez ,28.57,19.0,5.0,7.0,12.0,1.0,3.0,2.0,1.0,1.0,-13.0,24.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,1.0,0.0,6.0,12.0,6.0,12.0,0.0,0.0,7.0,9.0
Stephanie Smidt,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-7.0,-2.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Julia Fernandez ,16.53,4.0,1.0,3.0,4.0,0.0,4.0,5.0,2.0,0.0,-12.0,1.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,5.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0
Candela Foresto ,26.53,8.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,-6.0,12.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,7.0,0.0,3.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0
Mora Sauro,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Abril Romagnoli ,14.55,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,-12.0,-2.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,11.0,0.0,1.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0
Lucila Sampietro,19.15,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,-5.0,-9.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,13.0,0.0,0.0,11.0,0.0,5.0,0.0,6.0,0.0,0.0
Maribel Barzola,20.25,3.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,0.0,-7.0,3.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,14.0,0.0,1.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0
Julieta Perez,14.65,7.0,3.0,7.0,10.0,0.0,2.0,2.0,1.0,0.0,-4.0,10.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,16.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,3.0,6.0
Dalma Piri ,25.58,0.0,1.0,4.0,5.0,1.0,0.0,2.0,1.0,0.0,-13.0,-3.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,23.0,0.0,0.0,8.0,0.0,2.0,0.0,6.0,0.0,0.0
Micaela Gonzales,29.75,11.0,1.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,-10.0,9.0,Ferro,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,24.0,0.0,4.0,12.0,2.0,4.0,2.0,8.0,1.0,2.0
